feature,f_statistic,p_value,significant
Alcohol_Consumption,30389.378274836694,0.0,YES
Sex,178.37714860765726,1.865750487450039e-40,YES
BMI,168.33940165550294,2.7409948923608346e-38,YES
Diabetes,138.28311250367534,8.714533024893895e-32,YES
Smoking_History,122.66878695883494,2.1233324612082777e-28,YES
Height_(cm),113.85698778453472,1.74302435642344e-26,YES
General_Health,98.9969726342866,2.985291136757515e-23,YES
Exercise,69.82647916039875,7.038512392801774e-17,YES
Skin_Cancer,68.77230581888608,1.1982235978926467e-16,YES
Age_Category,41.299722146757425,1.345295169070305e-10,YES
Depression,17.77877722295978,2.4959042759293735e-05,YES
Heart_Disease,17.76553866093299,2.5133113957833673e-05,YES
Fruit_Consumption,11.016990728722442,0.0009049563375406506,YES
FriedPotato_Consumption,6.315278339366989,0.011980594553623766,YES
Checkup,5.876987945604789,0.01535178334067034,YES
Arthritis,3.5362065696301905,0.06006199530857408,NO
Green_Vegetables_Consumption,0.8559898247691787,0.3548782351643205,NO
Other_Cancer,0.7347935728292788,0.3913475005725968,NO
