feature,f_statistic,p_value,significant
Alcohol_Consumption,5266.71391033063,0.0,YES
Checkup,3237.9297606820314,0.0,YES
Green_Vegetables_Consumption,2415.931185160978,0.0,YES
Fruit_Consumption,2399.070036036879,0.0,YES
FriedPotato_Consumption,2160.5379060632436,0.0,YES
General_Health,922.972375796997,0.0,YES
BMI,487.79194999338273,0.0,YES
Exercise,145.4480724692633,5.4928067919380125e-180,YES
Arthritis,142.05477715679615,7.96204039416679e-176,YES
Diabetes,130.16148944342706,3.3446614947216936e-161,YES
Sex,109.8585829762623,4.211667274385967e-136,YES
Depression,105.62796531840657,7.516619672049885e-131,YES
Age_Category,79.06876222401766,1.0113094036557891e-97,YES
Height_(cm),74.46269436769454,5.981880355290472e-92,YES
Smoking_History,64.86080500551,6.785924260454754e-80,YES
Heart_Disease,51.641755052248186,2.9502211474077165e-63,YES
Other_Cancer,24.36594981830739,6.889519545839237e-29,YES
Skin_Cancer,21.797361419076285,1.1472460059676547e-25,YES
