cluster,n_samples,percentage,top_features,mean_BMI,delta_BMI,mean_General_Health,delta_General_Health,mean_Green_Vegetables_Consumption,delta_Green_Vegetables_Consumption,mean_Fruit_Consumption,delta_Fruit_Consumption,mean_Alcohol_Consumption,delta_Alcohol_Consumption,mean_Height_(cm),delta_Height_(cm),mean_FriedPotato_Consumption,delta_FriedPotato_Consumption,mean_Checkup,delta_Checkup,mean_Age_Category,delta_Age_Category,mean_Smoking_History,delta_Smoking_History,mean_Sex,delta_Sex
0,267,10.68,"BMI, General_Health, Green_Vegetables_Consumption, Fruit_Consumption, Alcohol_Consumption",1.6395702293833057,1.613187338430379,1.8838951310861423,-0.6541048689138576,-0.41514765539799947,-0.4465795684112941,-0.413441257271705,-0.42612832182115046,-0.4036524736374907,-0.3879488323922292,,,,,,,,,,,,
1,345,13.8,"General_Health, Height_(cm), Alcohol_Consumption, Green_Vegetables_Consumption, FriedPotato_Consumption",,,1.2550724637681159,-1.282927536231884,-0.30024056646667546,-0.3316724794799701,,,-0.4511436093970447,-0.4354399681517832,-0.6631090924962741,-0.6555233764085475,-0.2912188990493049,-0.30578082290507114,,,,,,,,
2,265,10.6,"Checkup, Height_(cm), Age_Category, Green_Vegetables_Consumption, BMI",-0.20954819843386066,-0.23593108938678736,,,-0.22380954426227773,-0.25524145727557235,,,,,0.40184472164792756,0.4094304377356542,,,1.7018867924528303,-1.92571320754717,0.7547169811320755,-0.37768301886792455,,,,
3,287,11.48,"Alcohol_Consumption, Age_Category, General_Health, BMI, Checkup",-0.2170637439051725,-0.2434466348580992,2.8536585365853657,0.3156585365853659,,,,,2.1426434855468983,2.15834712679216,,,,,3.7874564459930316,0.1598564459930314,1.4773519163763067,0.3449519163763066,,,,
4,76,3.04,"Green_Vegetables_Consumption, Fruit_Consumption, General_Health, FriedPotato_Consumption, Age_Category",,,2.8815789473684212,0.34357894736842143,3.96653484345908,3.9351029304457854,0.9264616893947827,0.9137746248453372,,,,,-0.23691857437430153,-0.25148049823006774,,,0.9605263157894737,-0.1718736842105264,,,,
5,19,0.76,"FriedPotato_Consumption, Green_Vegetables_Consumption, General_Health, Alcohol_Consumption, Smoking_History",,,2.1052631578947367,-0.4327368421052631,1.0222270868834418,0.9907951738701472,,,-0.34552373988250384,-0.3298200986372424,,,9.010311185173084,8.995749261317318,,,,,0.15789473684210525,-0.23610526315789476,,
6,490,19.6,"Height_(cm), Sex, Fruit_Consumption, General_Health, Alcohol_Consumption",,,2.8469387755102042,0.30893877551020443,,,-0.4086644678422669,-0.42135153239171236,-0.2693510194087937,-0.2536473781635322,0.7980064283748549,0.8055921444625815,,,,,,,,,0.9204081632653062,0.4284081632653062
7,368,14.719999999999999,"Height_(cm), General_Health, Sex, Alcohol_Consumption, BMI",-0.31333306715551207,-0.33971595810843874,3.114130434782609,0.5761304347826091,,,,,-0.3832509358750976,-0.36754729462983615,-0.670401016604939,-0.6628153005172124,,,,,,,,,0.11141304347826086,-0.38058695652173913
8,294,11.76,"Fruit_Consumption, General_Health, Alcohol_Consumption, Checkup, FriedPotato_Consumption",,,2.8843537414965987,0.3463537414965989,,,1.588230472496252,1.5755434079468065,-0.35521725891097256,-0.3395136176657111,,,-0.23825345660018754,-0.25281538045595375,3.880952380952381,0.2533523809523808,,,,,,
9,89,3.56,"FriedPotato_Consumption, Fruit_Consumption, Age_Category, BMI, Checkup",-0.18708939149029957,-0.21347228244322627,,,,,-0.40756936443775665,-0.4202564289872021,,,,,2.324445285125401,2.309883361269635,3.831460674157303,0.20386067415730302,0.8876404494382022,-0.24475955056179788,,,,
