,General_Health,Checkup,Exercise,Heart_Disease,Skin_Cancer,Other_Cancer,Depression,Diabetes,Arthritis,Sex,Age_Category,Height_(cm),Weight_(kg),BMI,Smoking_History,Alcohol_Consumption,Fruit_Consumption,Green_Vegetables_Consumption,FriedPotato_Consumption
General_Health,1.0,0.051927371819232876,0.28928941260416335,0.24952697573166877,0.05055101182725706,0.15051152471856613,0.2115055985889072,0.26861985404431643,0.2673631370403858,0.02551098535183177,0.11030304123721202,0.03870298349187149,0.10039666275113271,0.13469928197646758,0.1681051846038772,0.11070135892878087,0.07086891283552246,0.09152802424530627,0.04294275026893869
Checkup,0.051927371819232876,1.0,0.04700763432437478,0.09396586645606643,0.08784183422359174,0.09600532155491542,0.038420264396604994,0.14236141945837613,0.16652879951784944,0.11329718782611418,0.1780400060933764,0.056657836436426814,0.014856630804277189,0.034785648093971604,0.04333186381536806,0.041463957534354084,0.035026766333431145,0.038416348436410806,0.04464465663065191
Exercise,0.28928941260416335,0.04700763432437478,1.0,0.09633015255257443,0.0035566976498137186,0.054358411046761465,0.08471047795110383,0.13839410945264882,0.12480052234355822,0.059317145581481906,0.10678155580060225,0.09045509515067462,0.07674698924223883,0.15798199002248892,0.09327742849844178,0.15876427294377238,0.17106698997251313,0.1661234598205683,0.05107170348691719
Heart_Disease,0.24952697573166877,0.09396586645606643,0.09633015255257443,1.0,0.09083082218304318,0.09236970520153663,0.03247607335840815,0.17219501850360466,0.15390316182046432,0.07257239038366858,0.21775912448841298,0.035018403757500836,0.05062856601058974,0.049555856592008916,0.10778212245323203,0.08461152029600506,0.02414343833950133,0.027544678349361126,0.03247171757522494
Skin_Cancer,0.05055101182725706,0.08784183422359174,0.0035566976498137186,0.09083082218304318,1.0,0.15081353331425354,0.01288866735807896,0.034438938918220814,0.13616590613405583,0.009509381104261038,0.26440431841771217,0.010988727042931733,0.024240801272786112,0.040307659665869404,0.0327784716937561,0.046248510474446884,0.03199414431469858,0.03206627630167543,0.045002660376791
Other_Cancer,0.15051152471856613,0.09600532155491542,0.054358411046761465,0.09236970520153663,0.15081353331425354,1.0,0.01578944590649318,0.06603030741927415,0.12935017550657002,0.04200553019010433,0.2268451073639714,0.041865408457471026,0.016374807038463373,0.00823566013241123,0.053400888956295675,0.05193815030744486,0.013851661037444554,0.009769103027892053,0.046622173563549085
Depression,0.2115055985889072,0.038420264396604994,0.08471047795110383,0.03247607335840815,0.01288866735807896,0.01578944590649318,1.0,0.0489442168603944,0.12158483852749326,0.14143867858203357,0.09977163483443965,0.09492443855100566,0.04211717014662234,0.11773442180773643,0.10025863093909097,0.03293004504765271,0.057439307635990526,0.0629433528197077,0.02566316883025606
Diabetes,0.26861985404431643,0.14236141945837613,0.13839410945264882,0.17219501850360466,0.034438938918220814,0.06603030741927415,0.0489442168603944,1.0,0.1333077633454402,0.0,0.18738299053108604,0.031143397080579772,0.14382360584041698,0.19650454401202302,0.05459272916398763,0.1492792875492527,0.022358838777663224,0.03928696482649553,0.025579223365396208
Arthritis,0.2673631370403858,0.16652879951784944,0.12480052234355822,0.15390316182046432,0.13616590613405583,0.12935017550657002,0.12158483852749326,0.1333077633454402,1.0,0.10003711749259563,0.3490517760509141,0.09629768170162531,0.06594255109745843,0.13603154244184765,0.12318300546041183,0.09371951388778085,0.012399860740496729,0.010166030172675432,0.06605093267878606
Sex,0.02551098535183177,0.11329718782611418,0.059317145581481906,0.07257239038366858,0.009509381104261038,0.04200553019010433,0.14143867858203357,0.0,0.10003711749259563,1.0,0.054843350246579374,0.7121237011057262,0.3935160957508341,0.13597500267669393,0.07338021444795059,0.129968880222452,0.08316552592690783,0.08017026858738398,0.15323813229738545
Age_Category,0.11030304123721202,0.1780400060933764,0.10678155580060225,0.21775912448841298,0.26440431841771217,0.2268451073639714,0.09977163483443965,0.18738299053108604,0.3490517760509141,0.054843350246579374,1.0,0.0790772290495899,0.0860587675357328,0.09779628896193693,0.12620645354660193,0.10901243899361328,0.046206284020175646,0.060114589979312995,0.12950388859837844
Height_(cm),0.03870298349187149,0.056657836436426814,0.09045509515067462,0.035018403757500836,0.010988727042931733,0.041865408457471026,0.09492443855100566,0.031143397080579772,0.09629768170162531,0.7121237011057262,0.0790772290495899,1.0,0.2893351975975106,0.061670592595442116,0.056046190247374145,0.08338670727230679,0.02633228061547783,0.021590043400968453,0.07950044727514985
Weight_(kg),0.10039666275113271,0.014856630804277189,0.07674698924223883,0.05062856601058974,0.024240801272786112,0.016374807038463373,0.04211717014662234,0.14382360584041698,0.06594255109745843,0.3935160957508341,0.0860587675357328,0.2893351975975106,1.0,0.5211514607093632,0.05166655944887127,0.025244426139853973,0.0490530614908967,0.04669204110380749,0.07693113169607932
BMI,0.13469928197646758,0.034785648093971604,0.15798199002248892,0.049555856592008916,0.040307659665869404,0.00823566013241123,0.11773442180773643,0.19650454401202302,0.13603154244184765,0.13597500267669393,0.09779628896193693,0.061670592595442116,0.5211514607093632,1.0,0.03560746940963068,0.06826031163933431,0.0494237840395745,0.053862139259291654,0.04939728545835569
