var1,var2,correlation,abs_correlation
Weight_(kg),BMI,0.8596991491920793,0.8596991491920793
Sex,Height_(cm),0.6981672187205376,0.6981672187205376
Height_(cm),Weight_(kg),0.47218620106439985,0.47218620106439985
Sex,Weight_(kg),0.3540187197572336,0.3540187197572336
Arthritis,Age_Category,0.34870366042782447,0.34870366042782447
General_Health,Exercise,0.2760959150599094,0.2760959150599094
Fruit_Consumption,Green_Vegetables_Consumption,0.27043039604289654,0.27043039604289654
General_Health,Arthritis,-0.26595679968227026,0.26595679968227026
General_Health,Diabetes,-0.26302992343857406,0.26302992343857406
Skin_Cancer,Age_Category,0.25494646226889645,0.25494646226889645
General_Health,BMI,-0.246499004040534,0.246499004040534
Checkup,Age_Category,0.23508874755859538,0.23508874755859538
General_Health,Heart_Disease,-0.23250271641200124,0.23250271641200124
Other_Cancer,Age_Category,0.22117347649365884,0.22117347649365884
Heart_Disease,Age_Category,0.21243054437808476,0.21243054437808476
General_Health,Depression,-0.2075873530503562,0.2075873530503562
Diabetes,BMI,0.1997584204084583,0.1997584204084583
Diabetes,Age_Category,0.1859143555181526,0.1859143555181526
General_Health,Weight_(kg),-0.1842381784175847,0.1842381784175847
Heart_Disease,Diabetes,0.17220414100629317,0.17220414100629317
