feature,importance
Age_Category,0.4572481213519272
General_Health,0.3991315310589906
Sex,0.06892686165261794
Diabetes,0.0385418075083569
Smoking_History,0.01525406047728668
Arthritis,0.01077891791259664
Checkup,0.0028760208983108927
Height_(cm),0.0014038524204852353
BMI,0.001287310138660395
Other_Cancer,0.0012569755987058534
Depression,0.0012470765121601792
FriedPotato_Consumption,0.0009701799007557948
Fruit_Consumption,0.0006784617491577088
Exercise,0.0003988228199880303
Skin_Cancer,0.0
Alcohol_Consumption,0.0
Green_Vegetables_Consumption,0.0
