feature,best_threshold,root_entropy,weighted_child_entropy,information_gain
Age_Category,1.5,0.7219280948873623,0.6604131837884379,0.061514911098924374
General_Health,1.5,0.7219280948873623,0.6666099444086232,0.055318150478739114
Diabetes,0.5,0.7219280948873623,0.6875433748014753,0.034384720085887
Arthritis,0.5,0.7219280948873623,0.6878356132016086,0.03409248168575374
Smoking_History,0.5,0.7219280948873623,0.7036892483503725,0.018238846536989817
Checkup,3.5,0.7219280948873623,0.7059900631694566,0.015938031717905754
Exercise,0.5,0.7219280948873623,0.7088514052947104,0.013076689592651958
Alcohol_Consumption,0.5,0.7219280948873623,0.7111010592977949,0.010827035589567435
Other_Cancer,0.5,0.7219280948873623,0.7114114265300946,0.010516668357267722
Skin_Cancer,0.5,0.7219280948873623,0.7123108455854118,0.009617249301950515
Sex,0.5,0.7219280948873623,0.7135787582918398,0.008349336595522505
BMI,25.824999809265137,0.7219280948873623,0.7184641269036482,0.003463967983714067
Depression,0.5,0.7219280948873623,0.7202120941103622,0.0017160007770000707
Height_(cm),172.5,0.7219280948873623,0.7203276039042646,0.0016004909830976688
FriedPotato_Consumption,0.5,0.7219280948873623,0.720696720330534,0.001231374556828313
Green_Vegetables_Consumption,8.5,0.7219280948873623,0.7208263459116353,0.0011017489757270127
Fruit_Consumption,11.5,0.7219280948873623,0.7210396468395757,0.0008884480477866497
