feature,importance
Age_Category,0.47428867151586085
General_Health,0.38689124452045764
Sex,0.06409052524035458
Diabetes,0.03375285299123488
Smoking_History,0.014796003599842891
Arthritis,0.013984641391248729
Checkup,0.002938123393415829
BMI,0.0023214531215948026
Depression,0.0019124766600222348
FriedPotato_Consumption,0.0012614109185050755
Alcohol_Consumption,0.0009603058840539578
Height_(cm),0.0009137955259149495
Exercise,0.0008789768301078439
Other_Cancer,0.0006405183510288226
Fruit_Consumption,0.00036900005635705837
Skin_Cancer,0.0
Green_Vegetables_Consumption,0.0
