feature,best_threshold,root_entropy,weighted_child_entropy,information_gain
Age_Category,1.5,1.0,0.9047128384947652,0.09528716150523475
General_Health,2.5,1.0,0.9161751838593344,0.08382481614066561
Arthritis,0.5,1.0,0.9477232014042569,0.05227679859574308
Diabetes,0.5,1.0,0.9504132837566289,0.049586716243371076
Smoking_History,0.5,1.0,0.9716292732883295,0.028370726711670513
Checkup,3.5,1.0,0.9734440123334596,0.026555987666540437
Exercise,0.5,1.0,0.9802590764738257,0.019740923526174292
Alcohol_Consumption,0.5,1.0,0.9830697726673892,0.016930227332610848
Other_Cancer,0.5,1.0,0.9846466556633926,0.0153533443366074
Skin_Cancer,0.5,1.0,0.9859124459477233,0.014087554052276685
Sex,0.5,1.0,0.9869143706873091,0.01308562931269086
BMI,25.824999809265137,1.0,0.9945265378253598,0.005473462174640176
Depression,0.5,1.0,0.9973634769482578,0.0026365230517422233
Height_(cm),172.5,1.0,0.9975011858406015,0.0024988141593984547
FriedPotato_Consumption,0.5,1.0,0.9981132131733867,0.0018867868266132515
Green_Vegetables_Consumption,8.5,1.0,0.9982816276938178,0.0017183723061822143
Fruit_Consumption,11.5,1.0,0.9986263386411771,0.0013736613588228863
