feature,importance
Age_Category,0.23448988893271266
General_Health,0.21491952980161946
BMI,0.13995099164041755
Green_Vegetables_Consumption,0.06277417175998268
Height_(cm),0.05602320871625522
Fruit_Consumption,0.054847467023375215
FriedPotato_Consumption,0.051666647746020006
Alcohol_Consumption,0.04334710029681003
Sex,0.04285606496290378
Diabetes,0.022175330448106743
Smoking_History,0.017304200027671593
Arthritis,0.016449581585681387
Checkup,0.012861712246844882
Exercise,0.009916039668973874
Depression,0.008944910215195707
Skin_Cancer,0.006128353977534825
Other_Cancer,0.005344800949894492
