feature,best_threshold,root_entropy,weighted_child_entropy,information_gain
Age_Category,1.5,0.4051652057723882,0.37632899099930106,0.02883621477308712
General_Health,1.5,0.4051652057723882,0.37875468201059465,0.026410523761793536
Diabetes,0.5,0.4051652057723882,0.38870486063131043,0.016460345141077748
Arthritis,0.5,0.4051652057723882,0.38930527055892566,0.015859935213462517
Smoking_History,0.5,0.4051652057723882,0.39679141208063395,0.008373793691754228
Checkup,3.5,0.4051652057723882,0.3978662311898778,0.007298974582510387
Exercise,0.5,0.4051652057723882,0.39903962145428595,0.0061255843181022285
Other_Cancer,0.5,0.4051652057723882,0.4002049500688245,0.004960255703563676
Alcohol_Consumption,0.5,0.4051652057723882,0.4002053283508039,0.004959877421584269
Skin_Cancer,0.5,0.4051652057723882,0.4004487688464786,0.004716436925909562
Sex,0.5,0.4051652057723882,0.4012870449560092,0.003878160816378984
BMI,25.84500026702881,0.4051652057723882,0.40350381736360574,0.0016613884087824382
Height_(cm),172.5,0.4051652057723882,0.40439255329033863,0.0007726524820495517
Depression,0.5,0.4051652057723882,0.4044015987857202,0.0007636069866679973
FriedPotato_Consumption,0.5,0.4051652057723882,0.4045444830205188,0.0006207227518693625
Green_Vegetables_Consumption,8.5,0.4051652057723882,0.4047068756354439,0.00045833013694429603
Fruit_Consumption,11.5,0.4051652057723882,0.40471125924743495,0.0004539465249532304
