K,Train_Accuracy,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_Std_Recall
1,0.99992762621607,0.8725231036125065,0.20838009955244527,0.2063162856469479,0.20733992293436582,0.5687046776639644,0.003842705768972668
2,0.9359987201267684,0.9126448450694339,0.2949156051249783,0.058119255243931175,0.09709777116304348,0.6125594792084538,0.0024565287241659927
3,0.9363148792881467,0.9020820804121904,0.276653915551121,0.1309450860240396,0.1777374892658184,0.6441935985851499,0.0024338120468396143
4,0.9271272178755628,0.9147779673398719,0.3311875400449698,0.052981381098279524,0.09131807833942225,0.6673374148279928,0.0023111290449457957
5,0.9270967447033818,0.9099365428202901,0.31609833099945106,0.09790242752769267,0.14947383251859583,0.6868836701446501,0.0040262373799788125
6,0.9241446561483434,0.9163663797277881,0.3656545195975169,0.04737214235210936,0.08385869414044694,0.70038134742846,0.0019830953540384295
7,0.924220839078796,0.9136885512021855,0.3473325256754835,0.07739806740513788,0.12654844441896412,0.7112568240212613,0.004365151789880831
8,0.9227428902280155,0.9171129720980404,0.3804609021543308,0.040820174404902196,0.07371546532031774,0.7215713758095827,0.0025877873639049372
9,0.9228647829167397,0.9156578790404055,0.37344180851846187,0.06424699505067169,0.10961755025553774,0.7300807516465028,0.0021785001194044463
10,0.9217944127438806,0.9178786102009073,0.41293214548833684,0.038133396181946735,0.06981210965857682,0.7385702026372275,0.002432898967817853
11,0.9218439316486748,0.9167625316045795,0.39275223219482414,0.054866839500353516,0.09627621589689643,0.745259140730958,0.0036523913509894897
12,0.921234468205054,0.9182366703948288,0.4269386531029059,0.03393825123733207,0.06285615216712917,0.7511333768656303,0.002323593220620549
13,0.9214287346777081,0.9174481773983155,0.40829241579518766,0.04760782465236861,0.08523018220760631,0.7556756188507502,0.003605245944091058
14,0.9208802175784494,0.9184652196940298,0.4384929602740006,0.03111006363422107,0.05808502771352041,0.7593143588606301,0.001983095354038429
15,0.9210516291719677,0.9177910006579193,0.41643485959796556,0.0427999057270799,0.07760807017848599,0.7631374966312983,0.0018170478687151918
16,0.9207049968384083,0.9186061571287342,0.4458465555805118,0.029318878152250767,0.055014246158754054,0.7664605142938155,0.0009613989184242825
17,0.9207354700105894,0.9183090435113291,0.4394794880102175,0.03921753476313929,0.07200455325553798,0.7695211476606292,0.0004371255477490314
18,0.92053358524489,0.9188537512899838,0.4650189837922789,0.02776337497053971,0.05239225383230017,0.772241595121395,0.001689038215146728
19,0.9205412035379353,0.9185375931007188,0.4495549769788331,0.03577657317935423,0.0662721317715687,0.7748465403567755,0.0013530709492724318
20,0.9203736010909396,0.9189299350910065,0.47132208094390976,0.025689370728258304,0.04871677318965144,0.7777028821823719,0.000881842419696899
21,0.9204345474353016,0.9188347067181238,0.47004281428047534,0.033042658496346924,0.06172787388742372,0.7798990289800561,0.0012943229052789042
22,0.9203317004791907,0.9190975373058612,0.4887491443136217,0.024228140466650956,0.04616484440554991,0.7819968321615414,0.0010153504232164982
23,0.9203926468235527,0.9189032711814221,0.4736234247189358,0.030780108413858122,0.05779457695478925,0.7840620691771545,0.000876788839865108
24,0.9201412431530591,0.9190213543028569,0.4782184164234541,0.021871317464058453,0.041822055950811385,0.7854715475352121,0.000923682203264927
25,0.9203050364535322,0.9188766068365546,0.4684832951122405,0.027857647890643412,0.05257835621945138,0.7870934935278965,0.0008742510954980639
26,0.920110769980878,0.9190518278087568,0.4815548637403692,0.020410087202451098,0.0391512074676313,0.7888625446137848,0.0009497733527980145
27,0.9202098077904665,0.9189108897936753,0.470338474555288,0.02616073532877681,0.04955317135082025,0.7899283719081323,0.0009774424394686648
28,0.9200536327830386,0.91908610967767,0.486072668298397,0.019891586141880746,0.03821072843839757,0.7914377564887474,0.0007393064879263782
29,0.9201260065669686,0.9190023089329786,0.4796164778083572,0.025123733207636105,0.047732732136823594,0.7927121458472939,0.0009260845017387937
30,0.9199431675338824,0.9191356286259953,0.4931405412617839,0.01866603818053264,0.03596225242662272,0.7939838941231562,0.0007362950436866986
