,abs_mean_diff
FriedPotato_Consumption,0.0024488348861295625
Height_(cm),0.0036949787638774767
Green_Vegetables_Consumption,0.010024718598150212
BMI,0.011623389906344483
Fruit_Consumption,0.01585803401479824
Alcohol_Consumption,0.03708972699415189
Depression,0.04889857677067816
Other_Cancer,0.09873387736622802
Skin_Cancer,0.09890271274301687
Sex,0.13178409922990264
Exercise,0.14687959143533547
Smoking_History,0.19433379886230373
Diabetes,0.21959046743146393
Checkup,0.2581814455787206
Arthritis,0.26571778715096855
Age_Category,0.5927970021226252
General_Health,0.8841962809733259
