,abs_mean_diff
FriedPotato_Consumption,0.002297165920339385
Height_(cm),0.003478880247153482
Green_Vegetables_Consumption,0.010122923049728963
BMI,0.011799206310416699
Fruit_Consumption,0.01523725351561886
Alcohol_Consumption,0.03756461623065682
Depression,0.04908476706732656
Skin_Cancer,0.09865661088852228
Other_Cancer,0.09909655118233954
Sex,0.13037944850341743
Exercise,0.14582449524707364
Smoking_History,0.19503495954120514
Diabetes,0.21964019168827087
Checkup,0.2617644748212742
Arthritis,0.26360279676329645
Age_Category,0.5933066226726373
General_Health,0.8864796920417943
