feature,importance
Age_Category,0.33485990661366677
General_Health,0.2785311434057777
Diabetes,0.09054238275783474
Arthritis,0.08274135472224614
Smoking_History,0.045405600738145
Sex,0.04333125254727551
Checkup,0.031217208144159108
Alcohol_Consumption,0.01611457401264104
Height_(cm),0.014930991369781396
Exercise,0.013273215821587529
BMI,0.012706078376755112
Skin_Cancer,0.009712797457108464
Other_Cancer,0.008262189079140175
FriedPotato_Consumption,0.005568753863751193
Green_Vegetables_Consumption,0.004810502863294989
Fruit_Consumption,0.004594925903551442
Depression,0.003397122323283741
