k,inertia,delta_inertia,inertia_drop_pct
2,46917.815946091185,0.0,0.0
3,43043.71449205024,-3874.101454040945,8.257207578656917
4,40227.03647699438,-2816.6780150558625,6.543761495249384
5,37833.34695484902,-2393.6895221453597,5.950449577647356
6,35720.39109584171,-2112.9558590073066,5.584903343415388
7,33874.66236030704,-1845.7287355346707,5.167157130453524
8,32248.136237265717,-1626.5261230413234,4.801600989379073
9,30716.956570383794,-1531.1796668819225,4.74811832726166
10,29888.00773177213,-828.9488386116645,2.698668524377535
11,29196.404436384913,-691.6032953872163,2.31398258992022
12,28726.878757966617,-469.5256784182966,1.6081626744187993
13,28045.209378408927,-681.6693795576903,2.372932281648064
14,27486.393209343718,-558.8161690652087,1.9925548122148184
15,27017.95821130669,-468.434998037028,1.704243239443247
16,26715.20884421168,-302.7493670950098,1.1205486540737666
17,26303.037686659438,-412.1711575522422,1.5428333723902232
18,25920.090050115596,-382.94763654384224,1.4559065044341564
19,25694.653260762003,-225.43678935359276,0.8697376780625319
20,25388.84860182485,-305.80465893715154,1.1901490003920083
21,25142.569072958733,-246.2795288661182,0.9700303181469071
22,24845.183620168926,-297.38545278980746,1.182796602554234
23,24663.0966125798,-182.08700758912528,0.7328865440193806
24,24445.739716061755,-217.3568965180457,0.881304160350973
25,24234.04699627123,-211.69271979052428,0.8659697855305002
26,23973.638333561117,-260.4086627101133,1.0745570591250444
27,23760.1010937876,-213.53723977351547,0.8907168649265095
28,23634.617018144025,-125.48407564357694,0.5281293844174192
29,23446.346837371824,-188.27018077220055,0.7965865519532966
30,23235.396292348323,-210.95054502350104,0.8997160473940474
