k,inertia,max_centroid_distance,mean_centroid_distance,min_centroid_distance,delta_inertia,inertia_drop_pct
2,46917.815946091185,2.304172982974716,2.304172982974716,2.304172982974716,0.0,0.0
3,43043.71449205024,2.900815778792193,2.554632311348661,2.21800742734511,-3874.101454040945,8.257207578656917
4,40227.03647699438,3.673123110436313,2.863540866996645,2.237788948477413,-2816.6780150558625,6.543761495249384
5,37833.34695484902,3.7890981203669662,3.0074553362834378,2.2353943666623173,-2393.6895221453597,5.950449577647356
6,35720.39109584171,4.795368447791771,3.5047682184074693,2.2318626762506697,-2112.9558590073066,5.584903343415388
7,33874.66236030704,9.120107589151676,4.738207798716956,2.086478068216593,-1845.7287355346707,5.167157130453524
8,32248.13623726572,9.145956251058697,4.614523545580036,2.09419731883515,-1626.5261230413198,4.801600989379063
9,30716.956570383794,9.158604512900386,4.677343087640131,2.1526973527846502,-1531.179666881926,4.748118327261672
10,29888.00773177213,9.16697463177781,4.556293888544254,2.2532349207610674,-828.9488386116645,2.698668524377535
11,29196.404436384917,9.174448250191388,4.40217982308515,1.833155621087652,-691.6032953872127,2.313982589920208
12,28726.878757966617,9.302546528908449,4.3456451077756375,1.6245625058446354,-469.52567841830023,1.6081626744188116
13,28045.20937840893,9.364442981759481,4.280588198114114,1.8568100921581225,-681.6693795576866,2.372932281648051
14,27486.393209343718,9.389147540669391,4.18316159664116,1.9282667884852067,-558.8161690652123,1.9925548122148313
15,27017.958211306694,9.392624536221952,4.169363848994076,1.9300254809511839,-468.43499803702434,1.7042432394432334
16,26715.20884421168,9.388342983635775,4.053536530684723,1.6895708334694237,-302.74936709501344,1.12054865407378
17,26303.037686659438,9.406116612077064,4.048761861543492,1.6115932846328418,-412.1711575522422,1.5428333723902232
18,25920.0900501156,9.460341790378942,4.060179421479791,1.6623309526289132,-382.9476365438386,1.4559065044341426
19,25694.653260762003,11.894941141465345,4.578997934774582,1.6504777761614207,-225.4367893535964,0.8697376780625458
20,25388.84860182485,9.448978487271125,4.014801669333403,1.6110265948864584,-305.80465893715154,1.1901490003920083
21,25142.569072958733,9.588472982362031,3.9545663414472214,1.524932656276876,-246.2795288661182,0.9700303181469071
22,24845.183620168926,9.402428112293917,3.9810931511667276,1.6006908347795428,-297.38545278980746,1.182796602554234
23,24663.0966125798,9.57552797633082,3.9608423290172263,1.6738989688558712,-182.08700758912528,0.7328865440193806
24,24445.739716061755,10.288276657671945,4.068687556039096,1.5627604084887796,-217.3568965180457,0.881304160350973
25,24234.04699627123,10.003568722969572,3.9733360792154313,1.5764899484451071,-211.69271979052428,0.8659697855305002
26,23973.638333561117,9.605277235833071,3.96981808016321,1.5752368072492837,-260.4086627101133,1.0745570591250444
27,23760.1010937876,10.473159738586395,4.11906469380594,1.5875415850250594,-213.53723977351547,0.8907168649265095
28,23634.617018144025,9.693080171945017,4.035714990530541,1.556292201792981,-125.48407564357694,0.5281293844174192
29,23446.346837371824,11.944754037136448,4.332267744912009,1.5286818759167886,-188.27018077220055,0.7965865519532966
30,23235.396292348323,9.693080171945017,4.063791824049589,1.4536822788815085,-210.95054502350104,0.8997160473940474
