,General_Health,Checkup,Exercise,Heart_Disease,Skin_Cancer,Other_Cancer,Depression,Diabetes,Arthritis,Sex,Age_Category,Height_(cm),Weight_(kg),BMI,Smoking_History,Alcohol_Consumption,Fruit_Consumption,Green_Vegetables_Consumption,FriedPotato_Consumption
General_Health,1.0,-0.08806377726153085,0.2760959150599094,-0.23250271641200124,-0.04711282089857194,-0.14564003870313005,-0.2075873530503562,-0.26302992343857406,-0.26595679968227026,0.018968862648838694,-0.15210319172576742,0.06694159240575115,-0.1842381784175847,-0.246499004040534,-0.16760790126821234,0.11822704796049296,0.10261531820168042,0.11977572357986054,-0.031858562087541384
Checkup,-0.08806377726153085,1.0,-0.02849185736425802,0.08559612167357344,0.08459432426524036,0.09085061936144953,0.03756019555456043,0.13162528765886472,0.1593830582647921,-0.11176591536208079,0.23508874755859538,-0.09746673278235402,0.009932462885657575,0.06289783667839562,-0.01312023657980745,-0.047526785957769956,0.04537110640823477,0.040262941674949065,-0.06055867606901792
Exercise,0.2760959150599094,-0.02849185736425802,1.0,-0.09634680083962914,-0.003985955779314744,-0.054388096773643646,-0.08472944958541626,-0.13840558263437386,-0.12481329149739359,0.05934433548341101,-0.1067070502818929,0.09161786154026177,-0.09014369846085596,-0.15575610821111358,-0.0932946315851272,0.09495892050779395,0.1367871620552014,0.12500221188381588,-0.03693019606912616
Heart_Disease,-0.23250271641200124,0.08559612167357344,-0.09634680083962914,1.0,0.09084849658745199,0.09238708026537587,0.03252583145998498,0.17220414100629317,0.15391343123261686,0.07259457679223515,0.21243054437808476,0.01578042636015163,0.04587524247563179,0.042666374438310554,0.10779696699567752,-0.036568776085206214,-0.02005465792106161,-0.02404345729483685,-0.009226956864261372
Skin_Cancer,-0.04711282089857194,0.08459432426524036,-0.003985955779314744,0.09084849658745199,1.0,0.15082402320068702,-0.013013646478763064,0.03448585883993716,0.13617757431851799,0.009678110479802207,0.25494646226889645,0.006812349405172342,-0.028953682365778038,-0.037618563884372784,0.03282777047059746,0.042764428671086006,0.024122846561203365,0.012870579693516937,-0.03891889528382165
Other_Cancer,-0.14564003870313005,0.09085061936144953,-0.054388096773643646,0.09238708026537587,0.15082402320068702,1.0,0.015891619838561407,0.06605471343811548,0.1293624811022302,-0.0420439845858283,0.22117347649365884,-0.043458597972115855,-0.021132138829059927,0.0010472571287149562,0.053431109800698234,-0.008662934363518183,0.007973650676810148,-0.003237436605355158,-0.033297904833531095
Depression,-0.2075873530503562,0.03756019555456043,-0.08472944958541626,0.03252583145998498,-0.013013646478763064,0.015891619838561407,1.0,0.048977202799908616,0.12159795591305954,-0.14144989506430158,-0.09807429501820626,-0.09131760401595738,0.04793630354293982,0.10959696454679597,0.1002746145267265,-0.028134608776502174,-0.03994256693832034,-0.05116998331267752,0.018138342875546706
Diabetes,-0.26302992343857406,0.13162528765886472,-0.13840558263437386,0.17220414100629317,0.03448585883993716,0.06605471343811548,0.048977202799908616,1.0,0.133319691028204,-0.0008388436264070903,0.1859143555181526,-0.03147673550701947,0.15918392599886927,0.1997584204084583,0.0546222867888635,-0.11323057255330939,-0.0187201283150939,-0.028618558697055915,-0.0028428859471954946
Arthritis,-0.26595679968227026,0.1593830582647921,-0.12481329149739359,0.15391343123261686,0.13617757431851799,0.1293624811022302,0.12159795591305954,0.133319691028204,1.0,-0.10005313718512357,0.34870366042782447,-0.09778863792689077,0.07410372145006691,0.13796429491784734,0.12319594753960474,-0.02489631658688902,-0.0020121334574966006,-0.018824901726399487,-0.050960527976142186
Sex,0.018968862648838694,-0.11176591536208079,0.05934433548341101,0.07259457679223515,0.009678110479802207,-0.0420439845858283,-0.14144989506430158,-0.0008388436264070903,-0.10005313718512357,1.0,-0.05374612856390056,0.6981672187205376,0.3540187197572336,0.010988757956311452,0.07340215408503625,0.12929127401640314,-0.0924623479122506,-0.06917893711795117,0.13005213160334295
Age_Category,-0.15210319172576742,0.23508874755859538,-0.1067070502818929,0.21243054437808476,0.25494646226889645,0.22117347649365884,-0.09807429501820626,0.1859143555181526,0.34870366042782447,-0.05374612856390056,1.0,-0.10960792692887505,-0.05769815085637991,-0.00785826018003292,0.12031663308151506,0.011182337390204395,0.04001713741076484,0.032815544652144396,-0.13393659122407475
Height_(cm),0.06694159240575115,-0.09746673278235402,0.09161786154026177,0.01578042636015163,0.006812349405172342,-0.043458597972115855,-0.09131760401595738,-0.03147673550701947,-0.09778863792689077,0.6981672187205376,-0.10960792692887505,1.0,0.47218620106439985,-0.027408136284913554,0.05176643266841131,0.12883450296367066,-0.04591103297044179,-0.030147634198035244,0.10879533506291152
Weight_(kg),-0.1842381784175847,0.009932462885657575,-0.09014369846085596,0.04587524247563179,-0.028953682365778038,-0.021132138829059927,0.04793630354293982,0.15918392599886927,0.07410372145006691,0.3540187197572336,-0.05769815085637991,0.47218620106439985,1.0,0.8596991491920793,0.04753790942924706,-0.03237315826467334,-0.09061195489934358,-0.07590373472195201,0.09635066773685802
BMI,-0.246499004040534,0.06289783667839562,-0.15575610821111358,0.042666374438310554,-0.037618563884372784,0.0010472571287149562,0.10959696454679597,0.1997584204084583,0.13796429491784734,0.010988757956311452,-0.00785826018003292,-0.027408136284913554,0.8596991491920793,1.0,0.02485427823956104,-0.10868415042084084,-0.0766109759772228,-0.07063955698885743,0.048365707579318525
Smoking_History,-0.16760790126821234,-0.01312023657980745,-0.0932946315851272,0.10779696699567752,0.03282777047059746,0.053431109800698234,0.1002746145267265,0.0546222867888635,0.12319594753960474,0.07340215408503625,0.12031663308151506,0.05176643266841131,0.04753790942924706,0.02485427823956104,1.0,0.10063691226172784,-0.0936272674715431,-0.03440159032551549,0.03587363034377051
Alcohol_Consumption,0.11822704796049296,-0.047526785957769956,0.09495892050779395,-0.036568776085206214,0.042764428671086006,-0.008662934363518183,-0.028134608776502174,-0.11323057255330939,-0.02489631658688902,0.12929127401640314,0.011182337390204395,0.12883450296367066,-0.03237315826467334,-0.10868415042084084,0.10063691226172784,1.0,-0.01256157250202779,0.060052987876120165,0.0205427982991279
Fruit_Consumption,0.10261531820168042,0.04537110640823477,0.1367871620552014,-0.02005465792106161,0.024122846561203365,0.007973650676810148,-0.03994256693832034,-0.0187201283150939,-0.0020121334574966006,-0.0924623479122506,0.04001713741076484,-0.04591103297044179,-0.09061195489934358,-0.0766109759772228,-0.0936272674715431,-0.01256157250202779,1.0,0.27043039604289654,-0.06031103506760807
Green_Vegetables_Consumption,0.11977572357986054,0.040262941674949065,0.12500221188381588,-0.02404345729483685,0.012870579693516937,-0.003237436605355158,-0.05116998331267752,-0.028618558697055915,-0.018824901726399487,-0.06917893711795117,0.032815544652144396,-0.030147634198035244,-0.07590373472195201,-0.07063955698885743,-0.03440159032551549,0.060052987876120165,0.27043039604289654,1.0,0.003180345523245457
FriedPotato_Consumption,-0.031858562087541384,-0.06055867606901792,-0.03693019606912616,-0.009226956864261372,-0.03891889528382165,-0.033297904833531095,0.018138342875546706,-0.0028428859471954946,-0.050960527976142186,0.13005213160334295,-0.13393659122407475,0.10879533506291152,0.09635066773685802,0.048365707579318525,0.03587363034377051,0.0205427982991279,-0.06031103506760807,0.003180345523245457,1.0
